alpha,beta,steps,blocks,latency
0.5,0.5,60,190,4843
0.5,1.0,60,190,4877
0.5,1.5,60,190,4877
0.5,2.0,60,190,4877
0.5,2.5,60,190,4799
0.5,3.0,60,190,4799
0.5,3.5,60,190,4799
0.5,4.0,60,190,4799
0.5,4.5,60,190,4799
0.5,5.0,60,190,4799
1.0,0.5,62,190,5011
1.0,1.0,60,190,4877
1.0,1.5,60,190,4877
1.0,2.0,60,190,4877
1.0,2.5,60,190,4877
1.0,3.0,60,190,4799
1.0,3.5,60,190,4799
1.0,4.0,60,190,4799
1.0,4.5,60,190,4799
1.0,5.0,60,190,4799
1.5,0.5,62,190,5011
1.5,1.0,62,190,5011
1.5,1.5,60,190,4877
1.5,2.0,60,190,4877
1.5,2.5,60,190,4877
1.5,3.0,60,190,4877
1.5,3.5,60,190,4877
1.5,4.0,60,190,4799
1.5,4.5,60,190,4799
1.5,5.0,60,190,4799
2.0,0.5,63,190,5104
2.0,1.0,62,190,5011
2.0,1.5,60,190,4881
2.0,2.0,60,190,4881
2.0,2.5,60,190,4881
2.0,3.0,60,190,4877
2.0,3.5,60,190,4877
2.0,4.0,60,190,4889
2.0,4.5,60,190,4889
2.0,5.0,60,190,4889
2.5,0.5,63,190,5104
2.5,1.0,62,190,5011
2.5,1.5,62,190,5011
2.5,2.0,60,190,4881
2.5,2.5,60,190,4877
2.5,3.0,60,190,4877
2.5,3.5,60,190,4889
2.5,4.0,60,190,4889
2.5,4.5,60,190,4889
2.5,5.0,60,190,4889
3.0,0.5,63,190,5104
3.0,1.0,63,190,5104
3.0,1.5,62,190,5011
3.0,2.0,60,190,4881
3.0,2.5,60,190,4881
3.0,3.0,60,190,4889
3.0,3.5,60,190,4889
3.0,4.0,60,190,4889
3.0,4.5,60,190,4889
3.0,5.0,60,190,4889
3.5,0.5,63,190,5100
3.5,1.0,63,190,5104
3.5,1.5,62,190,5011
3.5,2.0,62,190,5011
3.5,2.5,60,190,4928
3.5,3.0,60,190,4889
3.5,3.5,60,190,4889
3.5,4.0,60,190,4889
3.5,4.5,60,190,4889
3.5,5.0,60,190,4889
4.0,0.5,63,190,5100
4.0,1.0,63,190,5104
4.0,1.5,61,190,4879
4.0,2.0,61,190,4917
4.0,2.5,61,190,4917
4.0,3.0,60,190,4928
4.0,3.5,60,190,4889
4.0,4.0,60,190,4889
4.0,4.5,60,190,4889
4.0,5.0,60,190,4889
4.5,0.5,63,190,5100
4.5,1.0,63,190,5104
4.5,1.5,61,190,4861
4.5,2.0,61,190,4917
4.5,2.5,61,190,4917
4.5,3.0,60,190,4928
4.5,3.5,60,190,4928
4.5,4.0,60,190,4889
4.5,4.5,60,190,4889
4.5,5.0,60,190,4889
5.0,0.5,64,190,5180
5.0,1.0,63,190,5100
5.0,1.5,62,190,4991
5.0,2.0,61,190,4917
5.0,2.5,61,190,4917
5.0,3.0,61,190,4917
5.0,3.5,60,190,4928
5.0,4.0,60,190,4928
5.0,4.5,60,190,4889
5.0,5.0,60,190,4889
