alpha,beta,fusion,steps,blocks,latency
0.5,0.5,500.0,49,160,3943
0.5,1.0,500.0,49,160,3943
0.5,1.5,500.0,49,160,3943
0.5,2.0,500.0,49,160,3943
0.5,2.5,500.0,49,160,3943
0.5,3.0,500.0,49,160,3943
0.5,3.5,500.0,49,160,3943
0.5,4.0,500.0,49,160,3943
0.5,4.5,500.0,49,160,3943
0.5,5.0,500.0,49,160,3943
1.0,0.5,500.0,49,160,3943
1.0,1.0,500.0,49,160,3943
1.0,1.5,500.0,49,160,3943
1.0,2.0,500.0,49,160,3943
1.0,2.5,500.0,49,160,3943
1.0,3.0,500.0,49,160,3943
1.0,3.5,500.0,49,160,3943
1.0,4.0,500.0,49,160,3943
1.0,4.5,500.0,49,160,3943
1.0,5.0,500.0,49,160,3943
1.5,0.5,500.0,49,160,3943
1.5,1.0,500.0,49,160,3943
1.5,1.5,500.0,49,160,3943
1.5,2.0,500.0,49,160,3943
1.5,2.5,500.0,49,160,3943
1.5,3.0,500.0,49,160,3943
1.5,3.5,500.0,49,160,3943
1.5,4.0,500.0,49,160,3943
1.5,4.5,500.0,49,160,3943
1.5,5.0,500.0,49,160,3943
2.0,0.5,500.0,49,160,3943
2.0,1.0,500.0,49,160,3943
2.0,1.5,500.0,49,160,3943
2.0,2.0,500.0,49,160,3943
2.0,2.5,500.0,49,160,3943
2.0,3.0,500.0,49,160,3943
2.0,3.5,500.0,49,160,3943
2.0,4.0,500.0,49,160,3943
2.0,4.5,500.0,49,160,3943
2.0,5.0,500.0,49,160,3943
2.5,0.5,500.0,49,160,3943
2.5,1.0,500.0,49,160,3943
2.5,1.5,500.0,49,160,3943
2.5,2.0,500.0,49,160,3943
2.5,2.5,500.0,49,160,3943
2.5,3.0,500.0,49,160,3943
2.5,3.5,500.0,49,160,3943
2.5,4.0,500.0,49,160,3943
2.5,4.5,500.0,49,160,3943
2.5,5.0,500.0,49,160,3943
3.0,0.5,500.0,49,160,3943
3.0,1.0,500.0,49,160,3943
3.0,1.5,500.0,49,160,3943
3.0,2.0,500.0,49,160,3943
3.0,2.5,500.0,49,160,3943
3.0,3.0,500.0,49,160,3943
3.0,3.5,500.0,49,160,3943
3.0,4.0,500.0,49,160,3943
3.0,4.5,500.0,49,160,3943
3.0,5.0,500.0,49,160,3943
