alpha,beta,fusion,steps,blocks,latency
0.5,0.5,500.0,51,160,4098
0.5,1.0,500.0,51,160,4098
0.5,1.5,500.0,51,160,4098
0.5,2.0,500.0,51,160,4098
0.5,2.5,500.0,51,160,4078
0.5,3.0,500.0,51,160,4095
0.5,3.5,500.0,51,160,4095
0.5,4.0,500.0,51,160,4095
0.5,4.5,500.0,51,160,4095
0.5,5.0,500.0,51,160,4095
1.0,0.5,500.0,51,160,4078
1.0,1.0,500.0,51,160,4098
1.0,1.5,500.0,51,160,4098
1.0,2.0,500.0,51,160,4080
1.0,2.5,500.0,51,160,4095
1.0,3.0,500.0,51,160,4095
1.0,3.5,500.0,51,160,4095
1.0,4.0,500.0,51,160,4095
1.0,4.5,500.0,51,160,4095
1.0,5.0,500.0,51,160,4095
1.5,0.5,500.0,51,160,4078
1.5,1.0,500.0,51,160,4078
1.5,1.5,500.0,51,160,4080
1.5,2.0,500.0,51,160,4080
1.5,2.5,500.0,51,160,4095
1.5,3.0,500.0,51,160,4095
1.5,3.5,500.0,51,160,4095
1.5,4.0,500.0,51,160,4095
1.5,4.5,500.0,51,160,4095
1.5,5.0,500.0,51,160,4095
2.0,0.5,500.0,51,160,4078
2.0,1.0,500.0,51,160,4078
2.0,1.5,500.0,51,160,4078
2.0,2.0,500.0,51,160,4080
2.0,2.5,500.0,51,160,4080
2.0,3.0,500.0,51,160,4095
2.0,3.5,500.0,51,160,4095
2.0,4.0,500.0,51,160,4095
2.0,4.5,500.0,51,160,4095
2.0,5.0,500.0,51,160,4095
2.5,0.5,500.0,51,160,4138
2.5,1.0,500.0,51,160,4078
2.5,1.5,500.0,51,160,4078
2.5,2.0,500.0,51,160,4078
2.5,2.5,500.0,51,160,4080
2.5,3.0,500.0,51,160,4095
2.5,3.5,500.0,51,160,4095
2.5,4.0,500.0,51,160,4095
2.5,4.5,500.0,51,160,4095
2.5,5.0,500.0,51,160,4095
3.0,0.5,500.0,51,160,4138
3.0,1.0,500.0,51,160,4078
3.0,1.5,500.0,51,160,4078
3.0,2.0,500.0,51,160,4078
3.0,2.5,500.0,51,160,4078
3.0,3.0,500.0,51,160,4138
3.0,3.5,500.0,51,160,4095
3.0,4.0,500.0,51,160,4095
3.0,4.5,500.0,51,160,4095
3.0,5.0,500.0,51,160,4095
0.5,0.5,5000.0,52,172,4172
0.5,1.0,5000.0,52,172,4150
