Alpha,Beta,Fusion,Latency,Blocks
0.5,0.5,0.0,562,15
0.5,2.5,0.0,562,15
0.5,4.5,0.0,562,15
1.5,0.5,0.0,562,15
1.5,2.5,0.0,562,15
1.5,4.5,0.0,562,15
2.5,0.5,0.0,562,15
2.5,2.5,0.0,562,15
2.5,4.5,0.0,562,15
0.5,0.5,100.0,562,15
0.5,2.5,100.0,562,15
0.5,4.5,100.0,562,15
1.5,0.5,100.0,562,15
1.5,2.5,100.0,562,15
1.5,4.5,100.0,562,15
2.5,0.5,100.0,562,15
2.5,2.5,100.0,562,15
2.5,4.5,100.0,562,15
0.5,0.5,500.0,562,15
0.5,2.5,500.0,562,15
0.5,4.5,500.0,562,15
1.5,0.5,500.0,562,15
1.5,2.5,500.0,562,15
1.5,4.5,500.0,562,15
2.5,0.5,500.0,562,15
2.5,2.5,500.0,562,15
2.5,4.5,500.0,562,15
0.5,0.5,2000.0,562,15
0.5,2.5,2000.0,562,15
0.5,4.5,2000.0,562,15
1.5,0.5,2000.0,562,15
1.5,2.5,2000.0,562,15
1.5,4.5,2000.0,562,15
2.5,0.5,2000.0,562,15
2.5,2.5,2000.0,562,15
2.5,4.5,2000.0,562,15
0.5,0.5,5000.0,739,18
0.5,2.5,5000.0,739,18
0.5,4.5,5000.0,739,18
1.5,0.5,5000.0,739,18
1.5,2.5,5000.0,739,18
1.5,4.5,5000.0,739,18
2.5,0.5,5000.0,739,18
2.5,2.5,5000.0,739,18
2.5,4.5,5000.0,739,18
0.5,0.5,10000.0,739,18
0.5,2.5,10000.0,739,18
0.5,4.5,10000.0,739,18
1.5,0.5,10000.0,739,18
1.5,2.5,10000.0,739,18
1.5,4.5,10000.0,739,18
2.5,0.5,10000.0,739,18
2.5,2.5,10000.0,739,18
2.5,4.5,10000.0,739,18
