alpha,beta,fusion,steps,blocks
0.5,0.1,500.0,2,27
0.5,0.6,500.0,2,27
0.5,1.1,500.0,2,27
0.5,1.6,500.0,2,27
0.5,2.1,500.0,2,27
0.5,2.6,500.0,2,27
0.5,3.1,500.0,2,27
0.5,3.6,500.0,2,27
0.5,4.1,500.0,2,27
0.5,4.6,500.0,2,27
0.5,5.1,500.0,2,27
1.0,0.1,500.0,2,27
1.0,0.6,500.0,2,27
1.0,1.1,500.0,2,27
1.0,1.6,500.0,2,27
1.0,2.1,500.0,2,27
1.0,2.6,500.0,2,27
1.0,3.1,500.0,2,27
1.0,3.6,500.0,2,27
1.0,4.1,500.0,2,27
1.0,4.6,500.0,2,27
1.0,5.1,500.0,2,27
1.5,0.1,500.0,2,27
1.5,0.6,500.0,2,27
1.5,1.1,500.0,2,27
1.5,1.6,500.0,2,27
1.5,2.1,500.0,2,27
1.5,2.6,500.0,2,27
1.5,3.1,500.0,2,27
1.5,3.6,500.0,2,27
1.5,4.1,500.0,2,27
1.5,4.6,500.0,2,27
1.5,5.1,500.0,2,27
2.0,0.1,500.0,2,27
2.0,0.6,500.0,2,27
2.0,1.1,500.0,2,27
2.0,1.6,500.0,2,27
2.0,2.1,500.0,2,27
2.0,2.6,500.0,2,27
2.0,3.1,500.0,2,27
2.0,3.6,500.0,2,27
2.0,4.1,500.0,2,27
2.0,4.6,500.0,2,27
2.0,5.1,500.0,2,27
2.5,0.1,500.0,2,27
2.5,0.6,500.0,2,27
2.5,1.1,500.0,2,27
2.5,1.6,500.0,2,27
2.5,2.1,500.0,2,27
2.5,2.6,500.0,2,27
2.5,3.1,500.0,2,27
2.5,3.6,500.0,2,27
2.5,4.1,500.0,2,27
2.5,4.6,500.0,2,27
2.5,5.1,500.0,2,27
3.0,0.1,500.0,2,27
3.0,0.6,500.0,2,27
3.0,1.1,500.0,2,27
3.0,1.6,500.0,2,27
3.0,2.1,500.0,2,27
3.0,2.6,500.0,2,27
3.0,3.1,500.0,2,27
3.0,3.6,500.0,2,27
3.0,4.1,500.0,2,27
3.0,4.6,500.0,2,27
3.0,5.1,500.0,2,27
3.5,0.1,500.0,2,27
3.5,0.6,500.0,2,27
3.5,1.1,500.0,2,27
3.5,1.6,500.0,2,27
3.5,2.1,500.0,2,27
3.5,2.6,500.0,2,27
3.5,3.1,500.0,2,27
3.5,3.6,500.0,2,27
3.5,4.1,500.0,2,27
3.5,4.6,500.0,2,27
3.5,5.1,500.0,2,27
4.0,0.1,500.0,2,27
4.0,0.6,500.0,2,27
