alpha,beta,fusion,steps,blocks
0.25,0.5,500.0,2,27
0.25,1.0,500.0,2,27
0.25,1.5,500.0,2,27
0.25,2.0,500.0,2,27
0.25,2.5,500.0,2,27
0.25,3.0,500.0,2,27
0.25,3.5,500.0,2,27
0.25,4.0,500.0,2,27
0.25,4.5,500.0,2,27
0.25,5.0,500.0,2,27
0.5,0.5,500.0,2,27
0.5,1.0,500.0,2,27
0.5,1.5,500.0,2,27
0.5,2.0,500.0,2,27
0.5,2.5,500.0,2,27
0.5,3.0,500.0,2,27
0.5,3.5,500.0,2,27
0.5,4.0,500.0,2,27
0.5,4.5,500.0,2,27
0.5,5.0,500.0,2,27
0.75,0.5,500.0,2,27
0.75,1.0,500.0,2,27
0.75,1.5,500.0,2,27
0.75,2.0,500.0,2,27
0.75,2.5,500.0,2,27
0.75,3.0,500.0,2,27
0.75,3.5,500.0,2,27
0.75,4.0,500.0,2,27
0.75,4.5,500.0,2,27
0.75,5.0,500.0,2,27
1.0,0.5,500.0,2,27
1.0,1.0,500.0,2,27
1.0,1.5,500.0,2,27
1.0,2.0,500.0,2,27
1.0,2.5,500.0,2,27
1.0,3.0,500.0,2,27
1.0,3.5,500.0,2,27
1.0,4.0,500.0,2,27
1.0,4.5,500.0,2,27
1.0,5.0,500.0,2,27
1.25,0.5,500.0,2,27
1.25,1.0,500.0,2,27
1.25,1.5,500.0,2,27
1.25,2.0,500.0,2,27
1.25,2.5,500.0,2,27
1.25,3.0,500.0,2,27
1.25,3.5,500.0,2,27
1.25,4.0,500.0,2,27
1.25,4.5,500.0,2,27
1.25,5.0,500.0,2,27
1.5,0.5,500.0,2,27
1.5,1.0,500.0,2,27
1.5,1.5,500.0,2,27
1.5,2.0,500.0,2,27
1.5,2.5,500.0,2,27
1.5,3.0,500.0,2,27
1.5,3.5,500.0,2,27
1.5,4.0,500.0,2,27
1.5,4.5,500.0,2,27
1.5,5.0,500.0,2,27
1.75,0.5,500.0,2,27
1.75,1.0,500.0,2,27
1.75,1.5,500.0,2,27
1.75,2.0,500.0,2,27
1.75,2.5,500.0,2,27
1.75,3.0,500.0,2,27
1.75,3.5,500.0,2,27
1.75,4.0,500.0,2,27
1.75,4.5,500.0,2,27
1.75,5.0,500.0,2,27
2.0,0.5,500.0,2,27
2.0,1.0,500.0,2,27
2.0,1.5,500.0,2,27
2.0,2.0,500.0,2,27
2.0,2.5,500.0,2,27
2.0,3.0,500.0,2,27
2.0,3.5,500.0,2,27
2.0,4.0,500.0,2,27
2.0,4.5,500.0,2,27
2.0,5.0,500.0,2,27
2.25,0.5,500.0,2,27
2.25,1.0,500.0,2,27
2.25,1.5,500.0,2,27
2.25,2.0,500.0,2,27
2.25,2.5,500.0,2,27
2.25,3.0,500.0,2,27
2.25,3.5,500.0,2,27
2.25,4.0,500.0,2,27
2.25,4.5,500.0,2,27
